Job ID		Partition Type
42872		cpu-epyc
42879		cpu-epyc
42880		cpu-epyc
42910		cpu-epyc
42911		cpu-epyc
42912		cpu-epyc
42918		cpu-epyc
42919		cpu-epyc
42932		cpu-epyc
42933		cpu-epyc
42934		cpu-epyc
42935		cpu-epyc
42936		cpu-epyc
42937		cpu-epyc
42938		cpu-epyc
42939		cpu-epyc
42941		cpu-epyc
42942		cpu-epyc
42943		cpu-epyc
42958		cpu-epyc
42962		cpu-epyc
42963		cpu-epyc
42964		cpu-epyc
42965		cpu-epyc
42966		cpu-epyc
42967		cpu-epyc
42968		cpu-epyc
42969		cpu-epyc
42970		cpu-epyc
42971		cpu-epyc
43004		cpu-epyc
43007		cpu-epyc
43018		cpu-epyc
43029		cpu-epyc
43030		cpu-epyc
43037		cpu-epyc
43038		cpu-epyc
43039		cpu-epyc
43040		cpu-epyc
43041		cpu-epyc
43042		cpu-epyc
43043		cpu-epyc
43044		cpu-epyc
43045		cpu-epyc
43046		cpu-epyc
43047		cpu-epyc
43048		cpu-epyc
43049		cpu-epyc
43051		cpu-epyc
43052		cpu-epyc
43053		cpu-epyc
43054		cpu-epyc
43055		cpu-epyc
43056		cpu-epyc
43057		cpu-epyc
43058		cpu-epyc
43059		cpu-epyc
43072		cpu-epyc
43080		cpu-epyc
43081		cpu-epyc
43082		cpu-epyc
43083		cpu-epyc
43084		cpu-epyc
43087		cpu-epyc
43088		cpu-epyc
43125		cpu-epyc
43138		cpu-epyc
43139		cpu-epyc
43143		cpu-epyc
43144		cpu-epyc
43146		cpu-epyc
43147		cpu-epyc
43148		cpu-epyc
43149		cpu-epyc
43151		cpu-epyc
43152		cpu-epyc
43153		cpu-epyc
43169		cpu-epyc
43171		cpu-epyc
43173		cpu-epyc
43181		cpu-epyc
43182		cpu-epyc
43183		cpu-epyc
43184		cpu-epyc
43202		cpu-epyc
43203		cpu-epyc
43204		cpu-epyc
43206		cpu-epyc
43207		cpu-epyc
43216		cpu-epyc
43218		cpu-epyc
43226		cpu-epyc
43230		cpu-epyc
43233		cpu-epyc
43234		cpu-epyc
43237		cpu-epyc
43248		cpu-epyc
43258		cpu-epyc
43261		cpu-epyc
43265		cpu-epyc
43266		cpu-epyc
43268		cpu-epyc
43271		cpu-epyc
43297		cpu-epyc
43299		cpu-epyc
43300		cpu-epyc
43301		cpu-epyc
43303		cpu-epyc
43305		cpu-epyc
43306		cpu-epyc
43310		cpu-epyc
43321		cpu-epyc
43322		cpu-epyc
43326		cpu-epyc
43328		cpu-epyc
43346		cpu-epyc
43348		cpu-epyc
43349		cpu-epyc
43358		cpu-epyc
43369		cpu-epyc
43370		cpu-epyc
43371		cpu-epyc
43374		cpu-epyc
43408		cpu-epyc
43409		cpu-epyc
43410		cpu-epyc
43411		cpu-epyc
43412		cpu-epyc
43413		cpu-epyc
43414		cpu-epyc
43415		cpu-epyc
43416		cpu-epyc
43417		cpu-epyc
43418		cpu-epyc
43419		cpu-epyc
43420		cpu-epyc
43421		cpu-epyc
43426		cpu-epyc
43431		cpu-epyc
43432		cpu-epyc
43433		cpu-epyc
43440		cpu-epyc
43394		cpu-epyc
43441		cpu-epyc
43398		cpu-epyc
43448		cpu-epyc
43456		cpu-epyc
43461		cpu-epyc
43399		cpu-epyc
43535		cpu-epyc
43454		cpu-epyc
43551		cpu-epyc
43559		cpu-epyc
43560		cpu-epyc
43568		cpu-epyc
43569		cpu-epyc
43574		cpu-epyc
43577		cpu-epyc
43587		cpu-epyc
43617		cpu-epyc
