Job ID		Partition Type
42805		cpu-opteron
42806		cpu-opteron
42807		cpu-opteron
42808		cpu-opteron
42809		cpu-opteron
42812		cpu-opteron
42813		cpu-opteron
42814		cpu-opteron
42815		cpu-opteron
42816		cpu-opteron
42817		cpu-opteron
42818		cpu-opteron
42819		cpu-opteron
42820		cpu-opteron
42821		cpu-opteron
42822		cpu-opteron
42823		cpu-opteron
42824		cpu-opteron
42825		cpu-opteron
42830		cpu-opteron
42834		cpu-opteron
42835		cpu-opteron
42836		cpu-opteron
42837		cpu-opteron
42838		cpu-opteron
42839		cpu-opteron
42840		cpu-opteron
42841		cpu-opteron
42843		cpu-opteron
42844		cpu-opteron
42845		cpu-opteron
42846		cpu-opteron
42847		cpu-opteron
42848		cpu-opteron
42849		cpu-opteron
42850		cpu-opteron
42851		cpu-opteron
42853		cpu-opteron
42854		cpu-opteron
42855		cpu-opteron
42856		cpu-opteron
42857		cpu-opteron
42858		cpu-opteron
42859		cpu-opteron
42860		cpu-opteron
42861		cpu-opteron
42862		cpu-opteron
42863		cpu-opteron
42866		cpu-opteron
42867		cpu-opteron
42868		cpu-opteron
42869		cpu-opteron
42870		cpu-opteron
42871		cpu-opteron
42873		cpu-opteron
42886		cpu-opteron
42887		cpu-opteron
42888		cpu-opteron
42889		cpu-opteron
42890		cpu-opteron
42891		cpu-opteron
42892		cpu-opteron
42893		cpu-opteron
42894		cpu-opteron
42895		cpu-opteron
42896		cpu-opteron
42897		cpu-opteron
42906		cpu-opteron
42914		cpu-opteron
42915		cpu-opteron
42916		cpu-opteron
42920		cpu-opteron
42921		cpu-opteron
42922		cpu-opteron
42924		cpu-opteron
42925		cpu-opteron
42927		cpu-opteron
42928		cpu-opteron
42929		cpu-opteron
42930		cpu-opteron
42931		cpu-opteron
42944		cpu-opteron
42945		cpu-opteron
42946		cpu-opteron
42960		cpu-opteron
42961		cpu-opteron
42974		cpu-opteron
42975		cpu-opteron
42976		cpu-opteron
42977		cpu-opteron
42978		cpu-opteron
42979		cpu-opteron
42980		cpu-opteron
42981		cpu-opteron
42982		cpu-opteron
42983		cpu-opteron
43001		cpu-opteron
43003		cpu-opteron
43005		cpu-opteron
43017		cpu-opteron
43019		cpu-opteron
43020		cpu-opteron
43021		cpu-opteron
43022		cpu-opteron
43023		cpu-opteron
43065		cpu-opteron
43066		cpu-opteron
43067		cpu-opteron
43068		cpu-opteron
43069		cpu-opteron
43070		cpu-opteron
43071		cpu-opteron
43074		cpu-opteron
43075		cpu-opteron
43076		cpu-opteron
43077		cpu-opteron
43078		cpu-opteron
43085		cpu-opteron
43089		cpu-opteron
43090		cpu-opteron
43092		cpu-opteron
43094		cpu-opteron
43096		cpu-opteron
43100		cpu-opteron
43101		cpu-opteron
43102		cpu-opteron
43104		cpu-opteron
43105		cpu-opteron
43110		cpu-opteron
43111		cpu-opteron
43113		cpu-opteron
43114		cpu-opteron
43116		cpu-opteron
43117		cpu-opteron
43118		cpu-opteron
43119		cpu-opteron
43120		cpu-opteron
43121		cpu-opteron
43122		cpu-opteron
43123		cpu-opteron
43124		cpu-opteron
43129		cpu-opteron
43131		cpu-opteron
43132		cpu-opteron
43135		cpu-opteron
43136		cpu-opteron
43137		cpu-opteron
43140		cpu-opteron
43145		cpu-opteron
43150		cpu-opteron
43175		cpu-opteron
43176		cpu-opteron
43177		cpu-opteron
43178		cpu-opteron
43179		cpu-opteron
43180		cpu-opteron
43185		cpu-opteron
43188		cpu-opteron
43192		cpu-opteron
43193		cpu-opteron
43194		cpu-opteron
43195		cpu-opteron
43196		cpu-opteron
43197		cpu-opteron
43198		cpu-opteron
43199		cpu-opteron
43200		cpu-opteron
43201		cpu-opteron
43205		cpu-opteron
43209		cpu-opteron
43212		cpu-opteron
43213		cpu-opteron
43214		cpu-opteron
43217		cpu-opteron
43219		cpu-opteron
43220		cpu-opteron
43221		cpu-opteron
43223		cpu-opteron
43225		cpu-opteron
43231		cpu-opteron
43232		cpu-opteron
43235		cpu-opteron
43236		cpu-opteron
43240		cpu-opteron
43244		cpu-opteron
43245		cpu-opteron
43246		cpu-opteron
43250		cpu-opteron
43251		cpu-opteron
43252		cpu-opteron
43253		cpu-opteron
43257		cpu-opteron
43259		cpu-opteron
43260		cpu-opteron
43263		cpu-opteron
43264		cpu-opteron
43272		cpu-opteron
43273		cpu-opteron
43276		cpu-opteron
43278		cpu-opteron
43281		cpu-opteron
43282		cpu-opteron
43283		cpu-opteron
43284		cpu-opteron
43288		cpu-opteron
43289		cpu-opteron
43290		cpu-opteron
43274		cpu-opteron
43295		cpu-opteron
43296		cpu-opteron
43307		cpu-opteron
43308		cpu-opteron
43309		cpu-opteron
43318		cpu-opteron
43319		cpu-opteron
43323		cpu-opteron
43324		cpu-opteron
43325		cpu-opteron
43327		cpu-opteron
43329		cpu-opteron
43330		cpu-opteron
43333		cpu-opteron
43334		cpu-opteron
43336		cpu-opteron
43337		cpu-opteron
43339		cpu-opteron
43340		cpu-opteron
43342		cpu-opteron
43343		cpu-opteron
43344		cpu-opteron
43347		cpu-opteron
43353		cpu-opteron
43354		cpu-opteron
43359		cpu-opteron
43360		cpu-opteron
43365		cpu-opteron
43372		cpu-opteron
43373		cpu-opteron
43375		cpu-opteron
43377		cpu-opteron
43378		cpu-opteron
43379		cpu-opteron
43380		cpu-opteron
43381		cpu-opteron
43382		cpu-opteron
43383		cpu-opteron
43384		cpu-opteron
43385		cpu-opteron
43386		cpu-opteron
43387		cpu-opteron
43388		cpu-opteron
43389		cpu-opteron
43390		cpu-opteron
43391		cpu-opteron
43434		cpu-opteron
43435		cpu-opteron
