Job ID		Partition Type
42827		gpu-k10
42828		gpu-k10
42829		gpu-k10
42831		gpu-k10
42832		gpu-k10
42833		gpu-k10
42884		gpu-k10
42959		gpu-k10
42972		gpu-k10
42973		gpu-k10
42988		gpu-k10
42989		gpu-k10
42990		gpu-k10
42991		gpu-k10
43006		gpu-k10
43134		gpu-k10
43155		gpu-k10
43156		gpu-k10
43157		gpu-k10
43159		gpu-k10
43160		gpu-k10
43161		gpu-k10
43164		gpu-k10
43165		gpu-k10
43166		gpu-k10
43167		gpu-k10
43168		gpu-k10
43170		gpu-k10
43172		gpu-k10
43191		gpu-k10
43238		gpu-k10
43241		gpu-k10
43242		gpu-k10
43254		gpu-k10
43256		gpu-k10
43269		gpu-k10
43270		gpu-k10
43277		gpu-k10
43362		gpu-k10
43363		gpu-k10
43364		gpu-k10
43366		gpu-k10
43367		gpu-k10
43376		gpu-k10
43395		gpu-k10
43396		gpu-k10
43491		gpu-k10
43581		gpu-k10
43598		gpu-k10
43638		gpu-k10
43643		gpu-k10
43644		gpu-k10
43647		gpu-k10
43648		gpu-k10
43669		gpu-k10
43679		gpu-k10
43680		gpu-k10
43692		gpu-k10
43694		gpu-k10
43695		gpu-k10
43696		gpu-k10
43697		gpu-k10
43699		gpu-k10
43701		gpu-k10
43703		gpu-k10
43728		gpu-k10
43731		gpu-k10
43750		gpu-k10
43751		gpu-k10
43766		gpu-k10
43768		gpu-k10
43769		gpu-k10
43770		gpu-k10
43811		gpu-k10
43812		gpu-k10
43813		gpu-k10
43814		gpu-k10
43824		gpu-k10
43828		gpu-k10
43866		gpu-k10
43875		gpu-k10
43877		gpu-k10
43881		gpu-k10
43928		gpu-k10
43930		gpu-k10
43931		gpu-k10
44075		gpu-k10
44076		gpu-k10
44082		gpu-k10
44125		gpu-k10
44259		gpu-k10
44426		gpu-k10
44429		gpu-k10
44430		gpu-k10
44431		gpu-k10
44432		gpu-k10
44617		gpu-k10
44618		gpu-k10
44619		gpu-k10
44620		gpu-k10
44623		gpu-k10
44799		gpu-k10
44822		gpu-k10
44852		gpu-k10
44853		gpu-k10
44854		gpu-k10
45047		gpu-k10
45104		gpu-k10
45304		gpu-k10
45337		gpu-k10
45338		gpu-k10
45356		gpu-k10
45360		gpu-k10
45383		gpu-k10
45387		gpu-k10
45528		gpu-k10
45692		gpu-k10
45693		gpu-k10
45706		gpu-k10
45828		gpu-k10
45841		gpu-k10
45843		gpu-k10
45844		gpu-k10
45846		gpu-k10
45848		gpu-k10
45852		gpu-k10
45996		gpu-k10
46001		gpu-k10
46006		gpu-k10
46007		gpu-k10
46011		gpu-k10
46013		gpu-k10
46015		gpu-k10
46019		gpu-k10
46052		gpu-k10
46053		gpu-k10
46066		gpu-k10
46090		gpu-k10
46091		gpu-k10
46092		gpu-k10
46234		gpu-k10
46303		gpu-k10
46353		gpu-k10
46354		gpu-k10
46355		gpu-k10
46426		gpu-k10
46493		gpu-k10
46531		gpu-k10
46635		gpu-k10
46679		gpu-k10
46711		gpu-k10
46712		gpu-k10
46713		gpu-k10
46714		gpu-k10
46715		gpu-k10
46728		gpu-k10
46729		gpu-k10
46730		gpu-k10
46761		gpu-k10
46782		gpu-k10
46783		gpu-k10
46787		gpu-k10
46788		gpu-k10
46789		gpu-k10
46790		gpu-k10
46791		gpu-k10
46792		gpu-k10
46793		gpu-k10
46794		gpu-k10
46795		gpu-k10
46796		gpu-k10
46797		gpu-k10
46798		gpu-k10
46822		gpu-k10
46831		gpu-k10
46833		gpu-k10
46854		gpu-k10
46909		gpu-k10
46939		gpu-k10
46950		gpu-k10
46951		gpu-k10
47496		gpu-k10
47497		gpu-k10
47499		gpu-k10
47647		gpu-k10
47650		gpu-k10
47769		gpu-k10
47772		gpu-k10
47779		gpu-k10
47780		gpu-k10
47781		gpu-k10
47782		gpu-k10
47783		gpu-k10
47784		gpu-k10
47786		gpu-k10
47788		gpu-k10
47789		gpu-k10
47790		gpu-k10
47791		gpu-k10
47792		gpu-k10
47793		gpu-k10
47794		gpu-k10
47795		gpu-k10
47796		gpu-k10
47797		gpu-k10
47798		gpu-k10
47663		gpu-k10
47721		gpu-k10
47803		gpu-k10
47805		gpu-k10
47817		gpu-k10
47832		gpu-k10
47861		gpu-k10
47864		gpu-k10
48001		gpu-k10
48002		gpu-k10
48134		gpu-k10
48136		gpu-k10
48137		gpu-k10
48138		gpu-k10
48139		gpu-k10
48140		gpu-k10
48141		gpu-k10
48150		gpu-k10
48317		gpu-k10
48319		gpu-k10
48437		gpu-k10
48450		gpu-k10
48463		gpu-k10
48464		gpu-k10
48512		gpu-k10
48513		gpu-k10
48514		gpu-k10
48515		gpu-k10
48542		gpu-k10
48560		gpu-k10
48563		gpu-k10
48561		gpu-k10
48562		gpu-k10
48566		gpu-k10
48569		gpu-k10
48573		gpu-k10
48610		gpu-k10
48665		gpu-k10
48666		gpu-k10
48667		gpu-k10
48669		gpu-k10
48670		gpu-k10
48673		gpu-k10
48674		gpu-k10
48678		gpu-k10
48679		gpu-k10
48680		gpu-k10
48682		gpu-k10
48683		gpu-k10
48697		gpu-k10
48706		gpu-k10
48684		gpu-k10
48848		gpu-k10
48867		gpu-k10
48868		gpu-k10
48869		gpu-k10
48891		gpu-k10
49002		gpu-k10
49003		gpu-k10
49005		gpu-k10
49012		gpu-k10
49013		gpu-k10
49014		gpu-k10
49092		gpu-k10
49093		gpu-k10
49125		gpu-k10
49126		gpu-k10
49193		gpu-k10
49194		gpu-k10
49195		gpu-k10
49264		gpu-k10
49283		gpu-k10
49284		gpu-k10
49285		gpu-k10
49286		gpu-k10
49287		gpu-k10
49397		gpu-k10
49398		gpu-k10
49416		gpu-k10
49417		gpu-k10
49424		gpu-k10
49448		gpu-k10
49497		gpu-k10
49559		gpu-k10
49562		gpu-k10
49574		gpu-k10
49576		gpu-k10
49592		gpu-k10
49697		gpu-k10
49706		gpu-k10
49768		gpu-k10
49812		gpu-k10
49816		gpu-k10
49822		gpu-k10
49848		gpu-k10
49834		gpu-k10
49966		gpu-k10
49969		gpu-k10
50067		gpu-k10
