Job ID		Partition Type
42874		gpu-k40c
42875		gpu-k40c
42878		gpu-k40c
42811		gpu-k40c
42881		gpu-k40c
42923		gpu-k40c
43103		gpu-k40c
43112		gpu-k40c
43130		gpu-k40c
43154		gpu-k40c
43224		gpu-k40c
43262		gpu-k40c
43331		gpu-k40c
43335		gpu-k40c
43341		gpu-k40c
43397		gpu-k40c
43463		gpu-k40c
43464		gpu-k40c
43498		gpu-k40c
43499		gpu-k40c
43505		gpu-k40c
43506		gpu-k40c
43507		gpu-k40c
43508		gpu-k40c
43509		gpu-k40c
43510		gpu-k40c
43511		gpu-k40c
43512		gpu-k40c
43513		gpu-k40c
43514		gpu-k40c
43515		gpu-k40c
43516		gpu-k40c
43517		gpu-k40c
43522		gpu-k40c
43531		gpu-k40c
43532		gpu-k40c
43533		gpu-k40c
43536		gpu-k40c
43537		gpu-k40c
43543		gpu-k40c
43546		gpu-k40c
43547		gpu-k40c
43548		gpu-k40c
43549		gpu-k40c
43578		gpu-k40c
43579		gpu-k40c
43580		gpu-k40c
43529		gpu-k40c
43530		gpu-k40c
43739		gpu-k40c
43765		gpu-k40c
43775		gpu-k40c
43776		gpu-k40c
43777		gpu-k40c
43879		gpu-k40c
44453		gpu-k40c
44476		gpu-k40c
44658		gpu-k40c
44758		gpu-k40c
44760		gpu-k40c
44791		gpu-k40c
44829		gpu-k40c
44850		gpu-k40c
44900		gpu-k40c
45363		gpu-k40c
45364		gpu-k40c
45365		gpu-k40c
45421		gpu-k40c
46058		gpu-k40c
46093		gpu-k40c
46130		gpu-k40c
46132		gpu-k40c
46223		gpu-k40c
46247		gpu-k40c
46336		gpu-k40c
46347		gpu-k40c
46369		gpu-k40c
46374		gpu-k40c
46529		gpu-k40c
46562		gpu-k40c
46563		gpu-k40c
46568		gpu-k40c
46572		gpu-k40c
46574		gpu-k40c
46581		gpu-k40c
46585		gpu-k40c
46602		gpu-k40c
46603		gpu-k40c
46605		gpu-k40c
46607		gpu-k40c
46608		gpu-k40c
46627		gpu-k40c
46681		gpu-k40c
46682		gpu-k40c
46686		gpu-k40c
46688		gpu-k40c
46691		gpu-k40c
46725		gpu-k40c
46834		gpu-k40c
46849		gpu-k40c
46919		gpu-k40c
46933		gpu-k40c
46949		gpu-k40c
46953		gpu-k40c
46954		gpu-k40c
46952		gpu-k40c
47516		gpu-k40c
47705		gpu-k40c
47950		gpu-k40c
47951		gpu-k40c
47975		gpu-k40c
48124		gpu-k40c
48130		gpu-k40c
48145		gpu-k40c
48270		gpu-k40c
48439		gpu-k40c
48555		gpu-k40c
48556		gpu-k40c
48564		gpu-k40c
48565		gpu-k40c
48568		gpu-k40c
48570		gpu-k40c
48572		gpu-k40c
48577		gpu-k40c
48578		gpu-k40c
48579		gpu-k40c
48580		gpu-k40c
48581		gpu-k40c
48582		gpu-k40c
48583		gpu-k40c
48584		gpu-k40c
48585		gpu-k40c
48586		gpu-k40c
48587		gpu-k40c
48588		gpu-k40c
48589		gpu-k40c
48590		gpu-k40c
48591		gpu-k40c
48592		gpu-k40c
48593		gpu-k40c
48594		gpu-k40c
48595		gpu-k40c
48596		gpu-k40c
48597		gpu-k40c
48598		gpu-k40c
48599		gpu-k40c
48600		gpu-k40c
48601		gpu-k40c
48602		gpu-k40c
48603		gpu-k40c
48604		gpu-k40c
48605		gpu-k40c
48606		gpu-k40c
48651		gpu-k40c
48660		gpu-k40c
48685		gpu-k40c
48763		gpu-k40c
48773		gpu-k40c
48774		gpu-k40c
48777		gpu-k40c
48779		gpu-k40c
48781		gpu-k40c
48788		gpu-k40c
48946		gpu-k40c
49023		gpu-k40c
49145		gpu-k40c
49268		gpu-k40c
49365		gpu-k40c
49598		gpu-k40c
49693		gpu-k40c
49835		gpu-k40c
50124		gpu-k40c
50382		gpu-k40c
50414		gpu-k40c
50475		gpu-k40c
50534		gpu-k40c
50562		gpu-k40c
50839		gpu-k40c
50841		gpu-k40c
50847		gpu-k40c
50852		gpu-k40c
50854		gpu-k40c
50856		gpu-k40c
50952		gpu-k40c
51363		gpu-k40c
51369		gpu-k40c
51371		gpu-k40c
51379		gpu-k40c
51592		gpu-k40c
51685		gpu-k40c
51957		gpu-k40c
51966		gpu-k40c
51988		gpu-k40c
52114		gpu-k40c
52116		gpu-k40c
52117		gpu-k40c
52118		gpu-k40c
52123		gpu-k40c
52124		gpu-k40c
52125		gpu-k40c
52128		gpu-k40c
52129		gpu-k40c
52130		gpu-k40c
52135		gpu-k40c
