Job ID		Partition Type
42842		gpu-titan
42852		gpu-titan
42864		gpu-titan
42865		gpu-titan
42882		gpu-titan
42902		gpu-titan
42905		gpu-titan
42917		gpu-titan
42947		gpu-titan
42948		gpu-titan
42949		gpu-titan
42950		gpu-titan
42951		gpu-titan
42952		gpu-titan
42953		gpu-titan
42957		gpu-titan
43061		gpu-titan
43062		gpu-titan
43098		gpu-titan
43099		gpu-titan
43108		gpu-titan
43106		gpu-titan
43109		gpu-titan
43115		gpu-titan
43126		gpu-titan
43133		gpu-titan
43127		gpu-titan
43338		gpu-titan
43345		gpu-titan
43400		gpu-titan
43401		gpu-titan
43402		gpu-titan
43403		gpu-titan
43404		gpu-titan
43405		gpu-titan
43406		gpu-titan
43407		gpu-titan
43427		gpu-titan
43429		gpu-titan
43481		gpu-titan
43482		gpu-titan
43496		gpu-titan
43497		gpu-titan
43538		gpu-titan
43539		gpu-titan
43540		gpu-titan
43541		gpu-titan
43542		gpu-titan
43544		gpu-titan
43552		gpu-titan
43553		gpu-titan
43554		gpu-titan
43555		gpu-titan
43556		gpu-titan
43564		gpu-titan
43635		gpu-titan
43639		gpu-titan
43640		gpu-titan
43641		gpu-titan
43642		gpu-titan
43673		gpu-titan
43677		gpu-titan
43774		gpu-titan
43780		gpu-titan
43791		gpu-titan
43792		gpu-titan
43793		gpu-titan
43795		gpu-titan
43796		gpu-titan
43797		gpu-titan
43798		gpu-titan
43802		gpu-titan
43803		gpu-titan
43806		gpu-titan
43807		gpu-titan
43885		gpu-titan
43886		gpu-titan
43894		gpu-titan
44080		gpu-titan
44081		gpu-titan
44084		gpu-titan
44091		gpu-titan
44092		gpu-titan
44093		gpu-titan
44094		gpu-titan
44096		gpu-titan
44097		gpu-titan
44098		gpu-titan
44099		gpu-titan
44100		gpu-titan
44101		gpu-titan
44103		gpu-titan
44104		gpu-titan
44105		gpu-titan
44106		gpu-titan
44107		gpu-titan
44109		gpu-titan
44110		gpu-titan
44077		gpu-titan
44124		gpu-titan
44196		gpu-titan
44264		gpu-titan
44266		gpu-titan
44267		gpu-titan
44268		gpu-titan
44269		gpu-titan
44270		gpu-titan
44284		gpu-titan
44285		gpu-titan
44286		gpu-titan
44287		gpu-titan
44299		gpu-titan
44300		gpu-titan
44301		gpu-titan
44302		gpu-titan
44303		gpu-titan
44304		gpu-titan
44305		gpu-titan
44306		gpu-titan
44310		gpu-titan
44311		gpu-titan
44312		gpu-titan
44313		gpu-titan
44314		gpu-titan
44315		gpu-titan
44316		gpu-titan
44317		gpu-titan
44318		gpu-titan
44319		gpu-titan
44320		gpu-titan
44321		gpu-titan
44360		gpu-titan
44362		gpu-titan
44384		gpu-titan
44386		gpu-titan
44395		gpu-titan
44399		gpu-titan
44401		gpu-titan
44403		gpu-titan
44404		gpu-titan
44412		gpu-titan
44413		gpu-titan
44457		gpu-titan
44458		gpu-titan
44459		gpu-titan
44572		gpu-titan
44573		gpu-titan
44574		gpu-titan
44609		gpu-titan
44610		gpu-titan
44611		gpu-titan
44627		gpu-titan
44629		gpu-titan
44630		gpu-titan
44641		gpu-titan
44644		gpu-titan
44645		gpu-titan
44646		gpu-titan
44648		gpu-titan
44651		gpu-titan
44653		gpu-titan
44655		gpu-titan
44667		gpu-titan
44686		gpu-titan
44687		gpu-titan
44688		gpu-titan
44689		gpu-titan
44690		gpu-titan
44696		gpu-titan
44697		gpu-titan
44698		gpu-titan
44699		gpu-titan
44732		gpu-titan
44749		gpu-titan
44750		gpu-titan
44751		gpu-titan
44752		gpu-titan
44762		gpu-titan
44765		gpu-titan
44771		gpu-titan
44772		gpu-titan
44774		gpu-titan
44908		gpu-titan
44910		gpu-titan
44911		gpu-titan
44913		gpu-titan
44917		gpu-titan
44918		gpu-titan
44919		gpu-titan
44933		gpu-titan
44934		gpu-titan
44935		gpu-titan
45023		gpu-titan
45036		gpu-titan
45037		gpu-titan
45038		gpu-titan
45039		gpu-titan
45040		gpu-titan
45041		gpu-titan
45042		gpu-titan
45046		gpu-titan
45048		gpu-titan
45049		gpu-titan
45069		gpu-titan
45110		gpu-titan
45179		gpu-titan
45231		gpu-titan
45232		gpu-titan
45279		gpu-titan
45319		gpu-titan
45350		gpu-titan
45419		gpu-titan
45484		gpu-titan
