Job ID		Partition Type
42802		gpu-v100s
42803		gpu-v100s
42804		gpu-v100s
42913		gpu-v100s
42954		gpu-v100s
42955		gpu-v100s
43010		gpu-v100s
43011		gpu-v100s
43012		gpu-v100s
43013		gpu-v100s
43014		gpu-v100s
43015		gpu-v100s
43016		gpu-v100s
43026		gpu-v100s
43027		gpu-v100s
43031		gpu-v100s
43033		gpu-v100s
43035		gpu-v100s
43036		gpu-v100s
43079		gpu-v100s
43107		gpu-v100s
43162		gpu-v100s
43229		gpu-v100s
43091		gpu-v100s
43311		gpu-v100s
43312		gpu-v100s
43313		gpu-v100s
43314		gpu-v100s
43315		gpu-v100s
43316		gpu-v100s
43332		gpu-v100s
43356		gpu-v100s
43357		gpu-v100s
43093		gpu-v100s
43361		gpu-v100s
43095		gpu-v100s
43097		gpu-v100s
43422		gpu-v100s
43428		gpu-v100s
43430		gpu-v100s
43483		gpu-v100s
43484		gpu-v100s
43485		gpu-v100s
43486		gpu-v100s
43487		gpu-v100s
43423		gpu-v100s
43488		gpu-v100s
43489		gpu-v100s
43492		gpu-v100s
43493		gpu-v100s
43500		gpu-v100s
43501		gpu-v100s
43534		gpu-v100s
43502		gpu-v100s
43550		gpu-v100s
43557		gpu-v100s
43558		gpu-v100s
43504		gpu-v100s
43561		gpu-v100s
43562		gpu-v100s
43593		gpu-v100s
43631		gpu-v100s
43632		gpu-v100s
43633		gpu-v100s
43634		gpu-v100s
43637		gpu-v100s
43424		gpu-v100s
43674		gpu-v100s
43709		gpu-v100s
43710		gpu-v100s
43682		gpu-v100s
43711		gpu-v100s
43716		gpu-v100s
43745		gpu-v100s
43425		gpu-v100s
43749		gpu-v100s
43678		gpu-v100s
44055		gpu-v100s
44056		gpu-v100s
44059		gpu-v100s
44060		gpu-v100s
44061		gpu-v100s
44062		gpu-v100s
44063		gpu-v100s
44064		gpu-v100s
44065		gpu-v100s
44067		gpu-v100s
44068		gpu-v100s
44069		gpu-v100s
44070		gpu-v100s
44230		gpu-v100s
44232		gpu-v100s
44233		gpu-v100s
44235		gpu-v100s
44236		gpu-v100s
44237		gpu-v100s
44238		gpu-v100s
44242		gpu-v100s
44243		gpu-v100s
44244		gpu-v100s
44245		gpu-v100s
44246		gpu-v100s
44247		gpu-v100s
44248		gpu-v100s
44249		gpu-v100s
44250		gpu-v100s
44251		gpu-v100s
44252		gpu-v100s
44254		gpu-v100s
44255		gpu-v100s
44256		gpu-v100s
44257		gpu-v100s
44258		gpu-v100s
44275		gpu-v100s
44276		gpu-v100s
44277		gpu-v100s
44278		gpu-v100s
44279		gpu-v100s
44280		gpu-v100s
44281		gpu-v100s
44282		gpu-v100s
43911		gpu-v100s
43991		gpu-v100s
44085		gpu-v100s
43870		gpu-v100s
43932		gpu-v100s
44308		gpu-v100s
43933		gpu-v100s
44225		gpu-v100s
44226		gpu-v100s
44309		gpu-v100s
44322		gpu-v100s
44324		gpu-v100s
44325		gpu-v100s
44326		gpu-v100s
44327		gpu-v100s
44328		gpu-v100s
44292		gpu-v100s
44330		gpu-v100s
44331		gpu-v100s
44332		gpu-v100s
44333		gpu-v100s
44334		gpu-v100s
44335		gpu-v100s
44336		gpu-v100s
44337		gpu-v100s
44338		gpu-v100s
44339		gpu-v100s
44340		gpu-v100s
44341		gpu-v100s
44342		gpu-v100s
44343		gpu-v100s
44345		gpu-v100s
44346		gpu-v100s
44347		gpu-v100s
44348		gpu-v100s
44349		gpu-v100s
44361		gpu-v100s
44350		gpu-v100s
44351		gpu-v100s
44438		gpu-v100s
44439		gpu-v100s
44440		gpu-v100s
44441		gpu-v100s
44442		gpu-v100s
44443		gpu-v100s
44444		gpu-v100s
44445		gpu-v100s
44446		gpu-v100s
44447		gpu-v100s
44448		gpu-v100s
44456		gpu-v100s
44450		gpu-v100s
44451		gpu-v100s
44700		gpu-v100s
44702		gpu-v100s
44703		gpu-v100s
44704		gpu-v100s
44705		gpu-v100s
44707		gpu-v100s
44739		gpu-v100s
44742		gpu-v100s
44766		gpu-v100s
44767		gpu-v100s
44754		gpu-v100s
44748		gpu-v100s
44842		gpu-v100s
44877		gpu-v100s
44879		gpu-v100s
