The number of jobs started from 2022-07-11T00:00 to 2022-07-13T00:00 is: 9216
The number of jobs ended from 2022-07-11T00:00 to 2022-07-13T00:00 is: 8286

JobID		Start Time                    	End Time
46131		2022-07-11T04:05:45.305       	2022-07-11T09:13:15.243
46037		N/A                           	2022-07-11T07:39:01.719
46040		2022-07-11T07:39:02.117       	2022-07-12T04:53:37.363
46132		2022-07-11T07:58:36.375       	2022-07-11T16:30:36.890
46038		N/A                           	2022-07-11T09:37:05.141
46133		2022-07-11T10:01:53.097       	2022-07-11T15:08:23.345
46039		N/A                           	2022-07-11T10:31:17.288
46036		N/A                           	2022-07-11T11:26:51.420
46100		2022-07-11T11:26:51.668       	N/A
46141		2022-07-11T12:50:07.033       	N/A
46142		2022-07-11T12:51:05.103       	2022-07-11T14:12:36.362
46144		2022-07-11T14:47:35.709       	2022-07-11T14:47:40.506
46145		2022-07-11T14:48:18.790       	2022-07-11T14:48:25.986
46146		2022-07-11T14:51:54.086       	2022-07-11T14:52:00.714
46147		2022-07-11T14:53:45.323       	2022-07-11T14:53:50.596
46148		2022-07-11T14:54:23.374       	N/A
46150		2022-07-11T22:46:34.053       	N/A
46151		2022-07-11T22:47:57.280       	N/A
46152		2022-07-11T23:10:30.601       	N/A
46153		2022-07-11T23:12:22.754       	2022-07-11T23:12:48.161
46154		2022-07-11T23:20:28.590       	2022-07-11T23:38:07.893
46167		2022-07-12T00:38:15.681       	N/A
46169		2022-07-12T00:51:58.094       	2022-07-12T00:51:58.438
46170		2022-07-12T00:53:57.363       	2022-07-12T00:53:57.603
46171		2022-07-12T00:54:23.398       	2022-07-12T00:54:23.654
46172		2022-07-12T00:56:35.586       	2022-07-12T00:56:36.413
46149		N/A                           	2022-07-12T00:57:02.404
46175		N/A                           	2022-07-12T01:09:42.718
46176		2022-07-12T01:10:23.500       	N/A
46177		2022-07-12T01:25:05.038       	2022-07-12T01:32:10.973
46178		2022-07-12T01:39:38.594       	2022-07-12T02:38:38.955
46179		2022-07-12T02:39:01.858       	2022-07-12T02:51:00.481
46182		2022-07-12T09:15:47.384       	N/A
46183		2022-07-12T09:28:35.850       	2022-07-12T10:34:21.594
46184		2022-07-12T09:34:14.546       	2022-07-12T15:08:56.649
46188		2022-07-12T10:21:04.145       	2022-07-12T10:21:09.882
46189		2022-07-12T10:22:32.248       	2022-07-12T10:22:33.709
46190		2022-07-12T10:25:24.523       	2022-07-12T10:25:30.449
46192		2022-07-12T10:29:39.135       	N/A
46193		2022-07-12T10:32:27.322       	N/A
46185		2022-07-12T10:34:23.521       	2022-07-12T15:46:22.362
46198		2022-07-12T10:38:52.031       	2022-07-12T13:22:24.678
46199		2022-07-12T10:39:56.123       	2022-07-12T13:17:59.250
46203		2022-07-12T10:45:05.682       	2022-07-12T14:07:50.705
46201		2022-07-12T10:46:32.079       	2022-07-12T10:46:37.845
46204		2022-07-12T10:48:15           	2022-07-12T10:48:21.020
46205		2022-07-12T10:49:51.133       	2022-07-12T10:49:56.525
46194		N/A                           	2022-07-12T11:14:26.171
46207		2022-07-12T15:08:57.123       	2022-07-12T15:10:09.798
46209		2022-07-12T15:48:23.084       	N/A
46211		2022-07-12T15:51:30.326       	N/A
46218		N/A                           	2022-07-12T16:28:13.383
46219		2022-07-12T16:34:39.366       	2022-07-12T16:34:53.938
46220		2022-07-12T16:39:51.298       	2022-07-12T16:40:04.981
46221		2022-07-12T16:40:05.424       	2022-07-12T16:40:06.269
46222		2022-07-12T16:41:11.406       	N/A
46223		2022-07-12T20:42:20.770       	N/A
46224		2022-07-12T21:27:45.546       	N/A
46057		N/A                           	2022-07-12T23:55:55.460
45637		2022-07-12T23:55:58.326       	N/A
